a =                1
b =                1
tau_a =                1
tau_b =               10
t =               50
delta =              0.2
               0               1               1
             0.2          0.8187            1.16
             0.4          0.6703           1.285
             0.6          0.5488            1.38
             0.8          0.4493           1.451
               1          0.3679           1.503
             1.2          0.3012            1.54
             1.4          0.2466           1.564
             1.6          0.2019           1.577
             1.8          0.1653           1.582
               2          0.1353           1.581
             2.2          0.1108           1.574
             2.4         0.09072           1.562
             2.6         0.07428           1.548
             2.8         0.06081           1.531
               3         0.04979           1.511
             3.2         0.04076            1.49
             3.4         0.03338           1.468
             3.6         0.02733           1.445
             3.8         0.02237           1.421
               4         0.01832           1.397
             4.2           0.015           1.373
             4.4         0.01228           1.348
             4.6         0.01005           1.324
             4.8         0.00823           1.299
               5        0.006738           1.275
             5.2        0.005517           1.251
             5.4        0.004517           1.227
             5.6        0.003698           1.204
             5.8        0.003028           1.181
               6        0.002479           1.158
             6.2         0.00203           1.135
             6.4        0.001662           1.113
             6.6        0.001361           1.092
             6.8        0.001114            1.07
               7        0.000912           1.049
             7.2       0.0007467           1.029
             7.4       0.0006113           1.008
             7.6       0.0005005          0.9885
             7.8       0.0004098           0.969
               8       0.0003355          0.9499
             8.2       0.0002747          0.9311
             8.4       0.0002249          0.9127
             8.6       0.0001841          0.8947
             8.8       0.0001508           0.877
               9       0.0001234          0.8597
             9.2       0.0001011          0.8427
             9.4       8.274e-05           0.826
             9.6       6.774e-05          0.8097
             9.8       5.546e-05          0.7937
              10       4.541e-05           0.778
            10.2       3.718e-05          0.7626
            10.4       3.044e-05          0.7475
            10.6       2.492e-05          0.7327
            10.8        2.04e-05          0.7182
              11        1.67e-05          0.7039
            11.2       1.368e-05            0.69
            11.4        1.12e-05          0.6764
            11.6       9.168e-06           0.663
            11.8       7.506e-06          0.6498
              12       6.145e-06           0.637
            12.2       5.031e-06          0.6244
            12.4       4.119e-06           0.612
            12.6       3.373e-06          0.5999
            12.8       2.761e-06           0.588
              13       2.261e-06          0.5764
            13.2       1.851e-06          0.5649
            13.4       1.515e-06          0.5538
            13.6       1.241e-06          0.5428
            13.8       1.016e-06           0.532
              14       8.317e-07          0.5215
            14.2        6.81e-07          0.5112
            14.4       5.575e-07          0.5011
            14.6       4.565e-07          0.4911
            14.8       3.737e-07          0.4814
              15        3.06e-07          0.4719
            15.2       2.505e-07          0.4625
            15.4       2.051e-07          0.4534
            15.6       1.679e-07          0.4444
            15.8       1.375e-07          0.4356
              16       1.126e-07           0.427
            16.2       9.216e-08          0.4185
            16.4       7.545e-08          0.4102
            16.6       6.178e-08          0.4021
            16.8       5.058e-08          0.3941
              17       4.141e-08          0.3863
            17.2        3.39e-08          0.3787
            17.4       2.776e-08          0.3712
            17.6       2.273e-08          0.3638
            17.8       1.861e-08          0.3566
              18       1.523e-08          0.3496
            18.2       1.247e-08          0.3427
            18.4       1.021e-08          0.3359
            18.6       8.361e-09          0.3292
            18.8       6.845e-09          0.3227
              19       5.604e-09          0.3163
            19.2       4.589e-09            0.31
            19.4       3.757e-09          0.3039
            19.6       3.076e-09          0.2979
            19.8       2.518e-09           0.292
              20       2.062e-09          0.2862
            20.2       1.688e-09          0.2805
            20.4       1.382e-09           0.275
            20.6       1.132e-09          0.2695
            20.8       9.264e-10          0.2642
              21       7.585e-10           0.259
            21.2        6.21e-10          0.2538
            21.4       5.084e-10          0.2488
            21.6       4.163e-10          0.2439
            21.8       3.408e-10          0.2391
              22        2.79e-10          0.2343
            22.2       2.285e-10          0.2297
            22.4        1.87e-10          0.2251
            22.6       1.531e-10          0.2207
            22.8       1.254e-10          0.2163
              23       1.027e-10           0.212
            23.2       8.405e-11          0.2078
            23.4       6.881e-11          0.2037
            23.6       5.634e-11          0.1997
            23.8       4.613e-11          0.1957
              24       3.777e-11          0.1919
            24.2       3.092e-11          0.1881
            24.4       2.532e-11          0.1843
            24.6       2.073e-11          0.1807
            24.8       1.697e-11          0.1771
              25       1.389e-11          0.1736
            25.2       1.138e-11          0.1702
            25.4       9.313e-12          0.1668
            25.6       7.625e-12          0.1635
            25.8       6.243e-12          0.1602
              26       5.111e-12          0.1571
            26.2       4.185e-12           0.154
            26.4       3.426e-12          0.1509
            26.6       2.805e-12          0.1479
            26.8       2.297e-12           0.145
              27        1.88e-12          0.1421
            27.2       1.539e-12          0.1393
            27.4        1.26e-12          0.1366
            27.6       1.032e-12          0.1339
            27.8       8.449e-13          0.1312
              28       6.917e-13          0.1286
            28.2       5.664e-13          0.1261
            28.4       4.637e-13          0.1236
            28.6       3.796e-13          0.1211
            28.8       3.108e-13          0.1187
              29       2.545e-13          0.1164
            29.2       2.084e-13          0.1141
            29.4       1.706e-13          0.1118
            29.6       1.397e-13          0.1096
            29.8       1.143e-13          0.1074
              30       9.362e-14          0.1053
            30.2       7.665e-14          0.1032
            30.4       6.276e-14          0.1012
            30.6       5.138e-14         0.09916
