a =                1
b =                1
tau_a =                1
tau_b =               10
t =               50
delta =              0.2
               0               1               1
             0.2          0.8187           1.162
             0.4          0.6703           1.288
             0.6          0.5488           1.384
             0.8          0.4493           1.456
               1          0.3679           1.508
             1.2          0.3012           1.545
             1.4          0.2466           1.569
             1.6          0.2019           1.583
             1.8          0.1653           1.588
               2          0.1353           1.586
             2.2          0.1108           1.579
             2.4         0.09072           1.567
             2.6         0.07428           1.553
             2.8         0.06081           1.535
               3         0.04979           1.515
             3.2         0.04076           1.494
             3.4         0.03338           1.472
             3.6         0.02733           1.448
             3.8         0.02237           1.424
               4         0.01832             1.4
             4.2           0.015           1.375
             4.4         0.01228            1.35
             4.6         0.01005           1.326
             4.8         0.00823           1.301
               5        0.006738           1.276
             5.2        0.005517           1.252
             5.4        0.004517           1.228
             5.6        0.003698           1.204
             5.8        0.003028           1.181
               6        0.002479           1.158
             6.2         0.00203           1.135
             6.4        0.001662           1.113
             6.6        0.001361           1.091
             6.8        0.001114           1.069
               7        0.000912           1.048
             7.2       0.0007467           1.027
             7.4       0.0006113           1.007
             7.6       0.0005005          0.9869
             7.8       0.0004098          0.9672
               8       0.0003355           0.948
             8.2       0.0002747          0.9291
             8.4       0.0002249          0.9105
             8.6       0.0001841          0.8924
             8.8       0.0001508          0.8746
               9       0.0001234          0.8571
             9.2       0.0001011            0.84
             9.4       8.274e-05          0.8232
             9.6       6.774e-05          0.8067
             9.8       5.546e-05          0.7906
              10       4.541e-05          0.7748
            10.2       3.718e-05          0.7593
            10.4       3.044e-05          0.7442
            10.6       2.492e-05          0.7293
            10.8        2.04e-05          0.7147
              11        1.67e-05          0.7004
            11.2       1.368e-05          0.6864
            11.4        1.12e-05          0.6727
            11.6       9.168e-06          0.6592
            11.8       7.506e-06           0.646
              12       6.145e-06          0.6331
            12.2       5.031e-06          0.6205
            12.4       4.119e-06          0.6081
            12.6       3.373e-06          0.5959
            12.8       2.761e-06           0.584
              13       2.261e-06          0.5723
            13.2       1.851e-06          0.5608
            13.4       1.515e-06          0.5496
            13.6       1.241e-06          0.5386
            13.8       1.016e-06          0.5279
              14       8.317e-07          0.5173
            14.2        6.81e-07           0.507
            14.4       5.575e-07          0.4968
            14.6       4.565e-07          0.4869
            14.8       3.737e-07          0.4772
              15        3.06e-07          0.4676
            15.2       2.505e-07          0.4583
            15.4       2.051e-07          0.4491
            15.6       1.679e-07          0.4401
            15.8       1.375e-07          0.4313
              16       1.126e-07          0.4227
            16.2       9.216e-08          0.4142
            16.4       7.545e-08          0.4059
            16.6       6.178e-08          0.3978
            16.8       5.058e-08          0.3899
              17       4.141e-08          0.3821
            17.2        3.39e-08          0.3744
            17.4       2.776e-08          0.3669
            17.6       2.273e-08          0.3596
            17.8       1.861e-08          0.3524
              18       1.523e-08          0.3454
            18.2       1.247e-08          0.3385
            18.4       1.021e-08          0.3317
            18.6       8.361e-09          0.3251
            18.8       6.845e-09          0.3186
              19       5.604e-09          0.3122
            19.2       4.589e-09          0.3059
            19.4       3.757e-09          0.2998
            19.6       3.076e-09          0.2938
            19.8       2.518e-09          0.2879
              20       2.062e-09          0.2822
            20.2       1.688e-09          0.2765
            20.4       1.382e-09           0.271
            20.6       1.132e-09          0.2656
            20.8       9.264e-10          0.2603
              21       7.585e-10          0.2551
            21.2        6.21e-10            0.25
            21.4       5.084e-10           0.245
            21.6       4.163e-10          0.2401
            21.8       3.408e-10          0.2353
              22        2.79e-10          0.2306
            22.2       2.285e-10           0.226
            22.4        1.87e-10          0.2214
            22.6       1.531e-10           0.217
            22.8       1.254e-10          0.2127
              23       1.027e-10          0.2084
            23.2       8.405e-11          0.2042
            23.4       6.881e-11          0.2002
            23.6       5.634e-11          0.1962
            23.8       4.613e-11          0.1922
              24       3.777e-11          0.1884
            24.2       3.092e-11          0.1846
            24.4       2.532e-11          0.1809
            24.6       2.073e-11          0.1773
            24.8       1.697e-11          0.1738
              25       1.389e-11          0.1703
            25.2       1.138e-11          0.1669
            25.4       9.313e-12          0.1635
            25.6       7.625e-12          0.1603
            25.8       6.243e-12          0.1571
              26       5.111e-12          0.1539
            26.2       4.185e-12          0.1508
            26.4       3.426e-12          0.1478
            26.6       2.805e-12          0.1449
            26.8       2.297e-12           0.142
              27        1.88e-12          0.1391
            27.2       1.539e-12          0.1364
            27.4        1.26e-12          0.1336
            27.6       1.032e-12           0.131
            27.8       8.449e-13          0.1283
              28       6.917e-13          0.1258
            28.2       5.664e-13          0.1233
            28.4       4.637e-13          0.1208
            28.6       3.796e-13          0.1184
            28.8       3.108e-13           0.116
              29       2.545e-13          0.1137
            29.2       2.084e-13          0.1114
            29.4       1.706e-13          0.1092
            29.6       1.397e-13           0.107
            29.8       1.143e-13          0.1049
              30       9.362e-14          0.1028
            30.2       7.665e-14          0.1007
            30.4       6.276e-14         0.09869
            30.6       5.138e-14         0.09672
