a =                1
b =                1
tau_a =                1
tau_b =               10
t =               50
delta =             0.05
               0               1               1
            0.05          0.9512           1.044
             0.1          0.9048           1.085
            0.15          0.8607           1.123
             0.2          0.8187            1.16
            0.25          0.7788           1.194
             0.3          0.7408           1.226
            0.35          0.7047           1.256
             0.4          0.6703           1.284
            0.45          0.6376            1.31
             0.5          0.6065           1.334
            0.55          0.5769           1.357
             0.6          0.5488           1.378
            0.65           0.522           1.398
             0.7          0.4966           1.417
            0.75          0.4724           1.434
             0.8          0.4493            1.45
            0.85          0.4274           1.464
             0.9          0.4066           1.478
            0.95          0.3867            1.49
               1          0.3679           1.502
            1.05          0.3499           1.512
             1.1          0.3329           1.521
            1.15          0.3166            1.53
             1.2          0.3012           1.538
            1.25          0.2865           1.545
             1.3          0.2725           1.551
            1.35          0.2592           1.557
             1.4          0.2466           1.561
            1.45          0.2346           1.566
             1.5          0.2231           1.569
            1.55          0.2122           1.572
             1.6          0.2019           1.575
            1.65           0.192           1.577
             1.7          0.1827           1.578
            1.75          0.1738           1.579
             1.8          0.1653            1.58
            1.85          0.1572            1.58
             1.9          0.1496            1.58
            1.95          0.1423           1.579
               2          0.1353           1.578
            2.05          0.1287           1.577
             2.1          0.1225           1.575
            2.15          0.1165           1.573
             2.2          0.1108           1.571
            2.25          0.1054           1.569
             2.3          0.1003           1.566
            2.35         0.09537           1.563
             2.4         0.09072            1.56
            2.45         0.08629           1.557
             2.5         0.08209           1.553
            2.55         0.07808           1.549
             2.6         0.07427           1.545
            2.65         0.07065           1.541
             2.7         0.06721           1.537
            2.75         0.06393           1.533
             2.8         0.06081           1.528
            2.85         0.05784           1.523
             2.9         0.05502           1.519
            2.95         0.05234           1.514
               3         0.04979           1.509
            3.05         0.04736           1.504
             3.1         0.04505           1.498
            3.15         0.04285           1.493
             3.2         0.04076           1.488
            3.25         0.03877           1.482
             3.3         0.03688           1.477
            3.35         0.03508           1.471
             3.4         0.03337           1.466
            3.45         0.03175            1.46
             3.5          0.0302           1.454
            3.55         0.02872           1.448
             3.6         0.02732           1.443
            3.65         0.02599           1.437
             3.7         0.02472           1.431
            3.75         0.02352           1.425
             3.8         0.02237           1.419
            3.85         0.02128           1.413
             3.9         0.02024           1.407
            3.95         0.01925           1.401
               4         0.01832           1.395
            4.05         0.01742           1.389
             4.1         0.01657           1.383
            4.15         0.01576           1.377
             4.2           0.015           1.371
            4.25         0.01426           1.364
             4.3         0.01357           1.358
            4.35         0.01291           1.352
             4.4         0.01228           1.346
            4.45         0.01168            1.34
             4.5         0.01111           1.334
            4.55         0.01057           1.328
             4.6         0.01005           1.322
            4.65        0.009562           1.316
             4.7        0.009095           1.309
            4.75        0.008652           1.303
             4.8         0.00823           1.297
            4.85        0.007828           1.291
             4.9        0.007447           1.285
            4.95        0.007083           1.279
               5        0.006738           1.273
            5.05        0.006409           1.267
             5.1        0.006097           1.261
            5.15        0.005799           1.255
             5.2        0.005517           1.249
            5.25        0.005248           1.243
             5.3        0.004992           1.237
            5.35        0.004748           1.231
             5.4        0.004517           1.225
            5.45        0.004296           1.219
             5.5        0.004087           1.214
            5.55        0.003887           1.208
             5.6        0.003698           1.202
            5.65        0.003518           1.196
             5.7        0.003346            1.19
            5.75        0.003183           1.185
             5.8        0.003028           1.179
            5.85         0.00288           1.173
             5.9        0.002739           1.167
            5.95        0.002606           1.162
               6        0.002479           1.156
            6.05        0.002358            1.15
             6.1        0.002243           1.145
            6.15        0.002133           1.139
             6.2        0.002029           1.134
            6.25         0.00193           1.128
             6.3        0.001836           1.122
            6.35        0.001747           1.117
             6.4        0.001662           1.111
            6.45        0.001581           1.106
             6.5        0.001503           1.101
            6.55         0.00143           1.095
             6.6         0.00136            1.09
            6.65        0.001294           1.084
             6.7        0.001231           1.079
            6.75        0.001171           1.074
             6.8        0.001114           1.068
            6.85        0.001059           1.063
             6.9        0.001008           1.058
            6.95       0.0009586           1.053
               7       0.0009119           1.047
            7.05       0.0008674           1.042
             7.1       0.0008251           1.037
            7.15       0.0007849           1.032
             7.2       0.0007466           1.027
            7.25       0.0007102           1.022
             7.3       0.0006755           1.017
            7.35       0.0006426           1.012
             7.4       0.0006113           1.007
            7.45       0.0005814           1.002
             7.5       0.0005531          0.9967
            7.55       0.0005261          0.9918
             7.6       0.0005005          0.9868
            7.65        0.000476           0.982
             7.7       0.0004528          0.9771
            7.75       0.0004307          0.9722
             7.8       0.0004097          0.9674
            7.85       0.0003898          0.9626
             7.9       0.0003707          0.9578
            7.95       0.0003527          0.9531
               8       0.0003355          0.9483
            8.05       0.0003191          0.9436
             8.1       0.0003035          0.9389
            8.15       0.0002887          0.9342
             8.2       0.0002747          0.9296
            8.25       0.0002613           0.925
             8.3       0.0002485          0.9204
            8.35       0.0002364          0.9158
             8.4       0.0002249          0.9112
            8.45       0.0002139          0.9067
