a =                1
b =                1
tau_a =                1
tau_b =               10
t =               50
delta =              0.2
               0               1               1
             0.2             0.8            1.18
             0.4            0.64           1.316
             0.6           0.512           1.418
             0.8          0.4096           1.492
               1          0.3277           1.544
             1.2          0.2621           1.579
             1.4          0.2097             1.6
             1.6          0.1678            1.61
             1.8          0.1342           1.611
               2          0.1074           1.606
             2.2          0.0859           1.595
             2.4         0.06872            1.58
             2.6         0.05498           1.562
             2.8         0.04398           1.542
               3         0.03518            1.52
             3.2         0.02815           1.497
             3.4         0.02252           1.472
             3.6         0.01801           1.447
             3.8         0.01441           1.422
               4         0.01153           1.397
             4.2        0.009223           1.371
             4.4        0.007379           1.345
             4.6        0.005903            1.32
             4.8        0.004722           1.295
               5        0.003778            1.27
             5.2        0.003022           1.245
             5.4        0.002418           1.221
             5.6        0.001934           1.197
             5.8        0.001547           1.173
               6        0.001238            1.15
             6.2       0.0009904           1.127
             6.4       0.0007923           1.105
             6.6       0.0006338           1.083
             6.8       0.0005071           1.062
               7       0.0004056            1.04
             7.2       0.0003245            1.02
             7.4       0.0002596          0.9994
             7.6       0.0002077          0.9795
             7.8       0.0001662          0.9599
               8       0.0001329          0.9408
             8.2       0.0001063           0.922
             8.4       8.507e-05          0.9036
             8.6       6.806e-05          0.8855
             8.8       5.445e-05          0.8678
               9       4.356e-05          0.8505
             9.2       3.484e-05          0.8335
             9.4       2.788e-05          0.8168
             9.6        2.23e-05          0.8005
             9.8       1.784e-05          0.7845
              10       1.427e-05          0.7688
            10.2       1.142e-05          0.7534
            10.4       9.134e-06          0.7383
            10.6       7.308e-06          0.7236
            10.8       5.846e-06          0.7091
              11       4.677e-06          0.6949
            11.2       3.741e-06           0.681
            11.4       2.993e-06          0.6674
            11.6       2.395e-06          0.6541
            11.8       1.916e-06           0.641
              12       1.532e-06          0.6282
            12.2       1.226e-06          0.6156
            12.4       9.808e-07          0.6033
            12.6       7.846e-07          0.5912
            12.8       6.277e-07          0.5794
              13       5.022e-07          0.5678
            13.2       4.017e-07          0.5565
            13.4       3.214e-07          0.5453
            13.6       2.571e-07          0.5344
            13.8       2.057e-07          0.5237
              14       1.646e-07          0.5133
            14.2       1.316e-07           0.503
            14.4       1.053e-07          0.4929
            14.6       8.425e-08          0.4831
            14.8        6.74e-08          0.4734
              15       5.392e-08          0.4639
            15.2       4.314e-08          0.4547
            15.4       3.451e-08          0.4456
            15.6       2.761e-08          0.4367
            15.8       2.209e-08          0.4279
              16       1.767e-08          0.4194
            16.2       1.413e-08           0.411
            16.4       1.131e-08          0.4028
            16.6       9.046e-09          0.3947
            16.8       7.237e-09          0.3868
              17        5.79e-09          0.3791
            17.2       4.632e-09          0.3715
            17.4       3.705e-09          0.3641
            17.6       2.964e-09          0.3568
            17.8       2.371e-09          0.3496
              18       1.897e-09          0.3427
            18.2       1.518e-09          0.3358
            18.4       1.214e-09          0.3291
            18.6       9.713e-10          0.3225
            18.8       7.771e-10          0.3161
              19       6.217e-10          0.3097
            19.2       4.973e-10          0.3035
            19.4       3.979e-10          0.2975
            19.6       3.183e-10          0.2915
            19.8       2.546e-10          0.2857
              20       2.037e-10            0.28
            20.2        1.63e-10          0.2744
            20.4       1.304e-10          0.2689
            20.6       1.043e-10          0.2635
            20.8       8.344e-11          0.2582
              21       6.675e-11          0.2531
            21.2        5.34e-11           0.248
            21.4       4.272e-11          0.2431
            21.6       3.418e-11          0.2382
            21.8       2.734e-11          0.2334
              22       2.187e-11          0.2288
            22.2        1.75e-11          0.2242
            22.4         1.4e-11          0.2197
            22.6        1.12e-11          0.2153
            22.8       8.959e-12           0.211
              23       7.167e-12          0.2068
            23.2       5.734e-12          0.2026
            23.4       4.587e-12          0.1986
            23.6        3.67e-12          0.1946
            23.8       2.936e-12          0.1907
              24       2.349e-12          0.1869
            24.2       1.879e-12          0.1832
            24.4       1.503e-12          0.1795
            24.6       1.202e-12          0.1759
            24.8        9.62e-13          0.1724
              25       7.696e-13           0.169
            25.2       6.157e-13          0.1656
            25.4       4.925e-13          0.1623
            25.6        3.94e-13           0.159
            25.8       3.152e-13          0.1558
              26       2.522e-13          0.1527
            26.2       2.017e-13          0.1497
            26.4       1.614e-13          0.1467
            26.6       1.291e-13          0.1437
            26.8       1.033e-13          0.1409
              27       8.263e-14           0.138
            27.2       6.611e-14          0.1353
            27.4       5.288e-14          0.1326
            27.6       4.231e-14          0.1299
            27.8       3.385e-14          0.1273
              28       2.708e-14          0.1248
            28.2       2.166e-14          0.1223
            28.4       1.733e-14          0.1198
            28.6       1.386e-14          0.1174
            28.8       1.109e-14          0.1151
              29       8.873e-15          0.1128
            29.2       7.098e-15          0.1105
            29.4       5.678e-15          0.1083
            29.6       4.543e-15          0.1062
            29.8       3.634e-15           0.104
              30       2.907e-15           0.102
            30.2       2.326e-15         0.09992
            30.4       1.861e-15         0.09792
