a =                1
b =                1
tau_a =                1
tau_b =                1
t =               50
delta =              0.2
            36.2         1.9e-16       7.091e-15
            36.4       1.556e-16       5.837e-15
            36.6       1.274e-16       4.805e-15
            36.8       1.043e-16       3.955e-15
              37       8.538e-17       3.255e-15
            37.2        6.99e-17       2.679e-15
            37.4       5.723e-17       2.205e-15
            37.6       4.686e-17       1.815e-15
            37.8       3.836e-17       1.493e-15
              38       3.141e-17       1.229e-15
            38.2       2.572e-17       1.011e-15
            38.4       2.105e-17       8.322e-16
            38.6       1.724e-17       6.848e-16
            38.8       1.411e-17       5.635e-16
              39       1.156e-17       4.637e-16
            39.2       9.461e-18       3.815e-16
            39.4       7.746e-18       3.139e-16
            39.6       6.342e-18       2.583e-16
            39.8       5.192e-18       2.125e-16
              40       4.251e-18       1.749e-16
            40.2        3.48e-18       1.439e-16
            40.4        2.85e-18       1.184e-16
            40.6       2.333e-18       9.737e-17
            40.8        1.91e-18        8.01e-17
              41       1.564e-18        6.59e-17
            41.2        1.28e-18       5.421e-17
            41.4       1.048e-18       4.459e-17
            41.6       8.583e-19       3.668e-17
            41.8       7.027e-19       3.017e-17
              42       5.753e-19       2.482e-17
            42.2        4.71e-19       2.041e-17
            42.4       3.857e-19       1.679e-17
            42.6       3.158e-19       1.381e-17
            42.8       2.585e-19       1.136e-17
              43       2.117e-19       9.343e-18
            43.2       1.733e-19       7.684e-18
            43.4       1.419e-19        6.32e-18
            43.6       1.162e-19       5.198e-18
            43.8        9.51e-20       4.274e-18
              44       7.787e-20       3.515e-18
            44.2       6.375e-20       2.891e-18
            44.4       5.219e-20       2.377e-18
            44.6       4.273e-20       1.955e-18
            44.8       3.499e-20       1.608e-18
              45       2.865e-20       1.322e-18
            45.2       2.345e-20       1.087e-18
            45.4        1.92e-20       8.938e-19
            45.6       1.572e-20        7.35e-19
            45.8       1.287e-20       6.043e-19
              46       1.054e-20       4.969e-19
            46.2       8.628e-21       4.086e-19
            46.4       7.064e-21       3.359e-19
            46.6       5.784e-21       2.762e-19
            46.8       4.735e-21       2.271e-19
              47       3.877e-21       1.867e-19
            47.2       3.174e-21       1.535e-19
            47.4       2.599e-21       1.262e-19
            47.6       2.128e-21       1.037e-19
            47.8       1.742e-21       8.529e-20
              48       1.426e-21       7.011e-20
            48.2       1.168e-21       5.764e-20
            48.4        9.56e-22       4.738e-20
            48.6       7.827e-22       3.895e-20
            48.8       6.409e-22       3.202e-20
              49       5.247e-22       2.632e-20
            49.2       4.296e-22       2.163e-20
            49.4       3.517e-22       1.778e-20
            49.6        2.88e-22       1.462e-20
            49.8       2.358e-22       1.202e-20
              50        1.93e-22       9.876e-21
