a =                1
b =                1
tau_a =                1
tau_b =              0.1
t =               50
delta =              0.2
            35.6       3.462e-16       3.893e-17
            35.8       2.835e-16       3.188e-17
              36       2.321e-16        2.61e-17
            36.2         1.9e-16       2.137e-17
            36.4       1.556e-16       1.749e-17
            36.6       1.274e-16       1.432e-17
            36.8       1.043e-16       1.173e-17
              37       8.538e-17       9.601e-18
            37.2        6.99e-17       7.861e-18
            37.4       5.723e-17       6.436e-18
            37.6       4.686e-17       5.269e-18
            37.8       3.836e-17       4.314e-18
              38       3.141e-17       3.532e-18
            38.2       2.572e-17       2.892e-18
            38.4       2.105e-17       2.368e-18
            38.6       1.724e-17       1.938e-18
            38.8       1.411e-17       1.587e-18
              39       1.156e-17       1.299e-18
            39.2       9.461e-18       1.064e-18
            39.4       7.746e-18        8.71e-19
            39.6       6.342e-18       7.131e-19
            39.8       5.192e-18       5.839e-19
              40       4.251e-18        4.78e-19
            40.2        3.48e-18       3.914e-19
            40.4        2.85e-18       3.204e-19
            40.6       2.333e-18       2.623e-19
            40.8        1.91e-18       2.148e-19
              41       1.564e-18       1.759e-19
            41.2        1.28e-18        1.44e-19
            41.4       1.048e-18       1.179e-19
            41.6       8.583e-19       9.651e-20
            41.8       7.027e-19       7.902e-20
              42       5.753e-19       6.469e-20
            42.2        4.71e-19       5.297e-20
            42.4       3.857e-19       4.337e-20
            42.6       3.158e-19       3.551e-20
            42.8       2.585e-19       2.907e-20
              43       2.117e-19        2.38e-20
            43.2       1.733e-19       1.949e-20
            43.4       1.419e-19       1.595e-20
            43.6       1.162e-19       1.306e-20
            43.8        9.51e-20       1.069e-20
              44       7.787e-20       8.756e-21
            44.2       6.375e-20       7.169e-21
            44.4       5.219e-20       5.869e-21
            44.6       4.273e-20       4.805e-21
            44.8       3.499e-20       3.934e-21
              45       2.865e-20       3.221e-21
            45.2       2.345e-20       2.637e-21
            45.4        1.92e-20       2.159e-21
            45.6       1.572e-20       1.768e-21
            45.8       1.287e-20       1.447e-21
              46       1.054e-20       1.185e-21
            46.2       8.628e-21       9.702e-22
            46.4       7.064e-21       7.943e-22
            46.6       5.784e-21       6.504e-22
            46.8       4.735e-21       5.325e-22
              47       3.877e-21       4.359e-22
            47.2       3.174e-21       3.569e-22
            47.4       2.599e-21       2.922e-22
            47.6       2.128e-21       2.393e-22
            47.8       1.742e-21       1.959e-22
              48       1.426e-21       1.604e-22
            48.2       1.168e-21       1.313e-22
            48.4        9.56e-22       1.075e-22
            48.6       7.827e-22       8.802e-23
            48.8       6.409e-22       7.206e-23
              49       5.247e-22         5.9e-23
            49.2       4.296e-22       4.831e-23
            49.4       3.517e-22       3.955e-23
            49.6        2.88e-22       3.238e-23
            49.8       2.358e-22       2.651e-23
              50        1.93e-22       2.171e-23
