a =                1
b =                1
tau_a =                1
tau_b =              0.1
t =               50
delta =             0.05
               0               1               1
            0.05          0.9512          0.6451
             0.1          0.9048          0.4278
            0.15          0.8607          0.2942
             0.2          0.8187          0.2115
            0.25          0.7788          0.1597
             0.3          0.7408          0.1267
            0.35          0.7047          0.1052
             0.4          0.6703         0.09083
            0.45          0.6376         0.08077
             0.5          0.6065         0.07342
            0.55          0.5769         0.06777
             0.6          0.5488         0.06321
            0.65           0.522         0.05936
             0.7          0.4966           0.056
            0.75          0.4724         0.05299
             0.8          0.4493         0.05024
            0.85          0.4274         0.04768
             0.9          0.4066         0.04529
            0.95          0.3867         0.04305
               1          0.3679         0.04093
            1.05          0.3499         0.03892
             1.1          0.3329         0.03701
            1.15          0.3166          0.0352
             1.2          0.3012         0.03348
            1.25          0.2865         0.03184
             1.3          0.2725         0.03029
            1.35          0.2592         0.02881
             1.4          0.2466         0.02741
            1.45          0.2346         0.02607
             1.5          0.2231          0.0248
            1.55          0.2122         0.02359
             1.6          0.2019         0.02244
            1.65           0.192         0.02134
             1.7          0.1827          0.0203
            1.75          0.1738         0.01931
             1.8          0.1653         0.01837
            1.85          0.1572         0.01747
             1.9          0.1496         0.01662
            1.95          0.1423         0.01581
               2          0.1353         0.01504
            2.05          0.1287         0.01431
             2.1          0.1225         0.01361
            2.15          0.1165         0.01295
             2.2          0.1108         0.01231
            2.25          0.1054         0.01171
             2.3          0.1003         0.01114
            2.35         0.09537          0.0106
             2.4         0.09072         0.01008
            2.45         0.08629         0.00959
             2.5         0.08209        0.009123
            2.55         0.07808        0.008678
             2.6         0.07427        0.008254
            2.65         0.07065        0.007852
             2.7         0.06721        0.007469
            2.75         0.06393        0.007105
             2.8         0.06081        0.006758
            2.85         0.05784        0.006429
             2.9         0.05502        0.006115
            2.95         0.05234        0.005817
               3         0.04979        0.005533
            3.05         0.04736        0.005263
             3.1         0.04505        0.005007
            3.15         0.04285        0.004762
             3.2         0.04076         0.00453
            3.25         0.03877        0.004309
             3.3         0.03688        0.004099
            3.35         0.03508        0.003899
             3.4         0.03337        0.003709
            3.45         0.03175        0.003528
             3.5          0.0302        0.003356
            3.55         0.02872        0.003192
             3.6         0.02732        0.003037
            3.65         0.02599        0.002889
             3.7         0.02472        0.002748
            3.75         0.02352        0.002614
             3.8         0.02237        0.002486
            3.85         0.02128        0.002365
             3.9         0.02024         0.00225
            3.95         0.01925         0.00214
               4         0.01832        0.002036
            4.05         0.01742        0.001936
             4.1         0.01657        0.001842
            4.15         0.01576        0.001752
             4.2           0.015        0.001667
            4.25         0.01426        0.001585
             4.3         0.01357        0.001508
            4.35         0.01291        0.001434
             4.4         0.01228        0.001364
            4.45         0.01168        0.001298
             4.5         0.01111        0.001235
            4.55         0.01057        0.001174
             4.6         0.01005        0.001117
            4.65        0.009562        0.001063
             4.7        0.009095        0.001011
            4.75        0.008652       0.0009615
             4.8         0.00823       0.0009146
            4.85        0.007828         0.00087
             4.9        0.007447       0.0008276
            4.95        0.007083       0.0007872
               5        0.006738       0.0007488
            5.05        0.006409       0.0007123
             5.1        0.006097       0.0006776
            5.15        0.005799       0.0006445
             5.2        0.005517       0.0006131
            5.25        0.005248       0.0005832
             5.3        0.004992       0.0005547
            5.35        0.004748       0.0005277
             5.4        0.004517        0.000502
            5.45        0.004296       0.0004775
             5.5        0.004087       0.0004542
            5.55        0.003887        0.000432
             5.6        0.003698        0.000411
            5.65        0.003518       0.0003909
             5.7        0.003346       0.0003719
            5.75        0.003183       0.0003537
             5.8        0.003028       0.0003365
            5.85         0.00288       0.0003201
             5.9        0.002739       0.0003044
            5.95        0.002606       0.0002896
               6        0.002479       0.0002755
            6.05        0.002358        0.000262
             6.1        0.002243       0.0002493
            6.15        0.002133       0.0002371
             6.2        0.002029       0.0002255
            6.25         0.00193       0.0002145
             6.3        0.001836       0.0002041
            6.35        0.001747       0.0001941
             6.4        0.001662       0.0001847
            6.45        0.001581       0.0001757
             6.5        0.001503       0.0001671
            6.55         0.00143       0.0001589
             6.6         0.00136       0.0001512
            6.65        0.001294       0.0001438
             6.7        0.001231       0.0001368
            6.75        0.001171       0.0001301
             6.8        0.001114       0.0001238
            6.85        0.001059       0.0001177
             6.9        0.001008        0.000112
            6.95       0.0009586       0.0001065
               7       0.0009119       0.0001013
            7.05       0.0008674        9.64e-05
             7.1       0.0008251        9.17e-05
            7.15       0.0007849       8.723e-05
             7.2       0.0007466       8.297e-05
            7.25       0.0007102       7.893e-05
             7.3       0.0006755       7.508e-05
            7.35       0.0006426       7.141e-05
             7.4       0.0006113       6.793e-05
            7.45       0.0005814       6.462e-05
             7.5       0.0005531       6.147e-05
            7.55       0.0005261       5.847e-05
             7.6       0.0005005       5.562e-05
            7.65        0.000476       5.291e-05
             7.7       0.0004528       5.033e-05
            7.75       0.0004307       4.787e-05
