a =                1
b =                1
tau_a =                1
tau_b =               10
t =               50
delta =              0.1
               0               1               1
             0.1          0.9048           1.085
             0.2          0.8187            1.16
             0.3          0.7408           1.226
             0.4          0.6703           1.284
             0.5          0.6065           1.335
             0.6          0.5488           1.379
             0.7          0.4966           1.417
             0.8          0.4493            1.45
             0.9          0.4066           1.478
               1          0.3679           1.502
             1.1          0.3329           1.522
             1.2          0.3012           1.538
             1.3          0.2725           1.552
             1.4          0.2466           1.562
             1.5          0.2231            1.57
             1.6          0.2019           1.575
             1.7          0.1827           1.579
             1.8          0.1653            1.58
             1.9          0.1496            1.58
               2          0.1353           1.579
             2.1          0.1225           1.576
             2.2          0.1108           1.572
             2.3          0.1003           1.567
             2.4         0.09072           1.561
             2.5         0.08209           1.554
             2.6         0.07427           1.546
             2.7         0.06721           1.538
             2.8         0.06081           1.529
             2.9         0.05502           1.519
               3         0.04979           1.509
             3.1         0.04505           1.499
             3.2         0.04076           1.488
             3.3         0.03688           1.477
             3.4         0.03337           1.466
             3.5          0.0302           1.455
             3.6         0.02732           1.443
             3.7         0.02472           1.431
             3.8         0.02237           1.419
             3.9         0.02024           1.407
               4         0.01832           1.395
             4.1         0.01657           1.383
             4.2           0.015           1.371
             4.3         0.01357           1.359
             4.4         0.01228           1.347
             4.5         0.01111           1.334
             4.6         0.01005           1.322
             4.7        0.009095            1.31
             4.8         0.00823           1.298
             4.9        0.007447           1.286
               5        0.006738           1.274
             5.1        0.006097           1.261
             5.2        0.005517            1.25
             5.3        0.004992           1.238
             5.4        0.004517           1.226
             5.5        0.004087           1.214
             5.6        0.003698           1.202
             5.7        0.003346           1.191
             5.8        0.003028           1.179
             5.9        0.002739           1.168
               6        0.002479           1.156
             6.1        0.002243           1.145
             6.2        0.002029           1.134
             6.3        0.001836           1.123
             6.4        0.001662           1.112
             6.5        0.001503           1.101
             6.6         0.00136            1.09
             6.7        0.001231           1.079
             6.8        0.001114           1.069
             6.9        0.001008           1.058
               7       0.0009119           1.048
             7.1       0.0008251           1.037
             7.2       0.0007466           1.027
             7.3       0.0006755           1.017
             7.4       0.0006113           1.007
             7.5       0.0005531           0.997
             7.6       0.0005005          0.9872
             7.7       0.0004528          0.9774
             7.8       0.0004097          0.9677
             7.9       0.0003707          0.9581
               8       0.0003355          0.9486
             8.1       0.0003035          0.9392
             8.2       0.0002747          0.9299
             8.3       0.0002485          0.9207
             8.4       0.0002249          0.9115
             8.5       0.0002035          0.9025
             8.6       0.0001841          0.8935
             8.7       0.0001666          0.8847
             8.8       0.0001507          0.8759
             8.9       0.0001364          0.8672
               9       0.0001234          0.8586
             9.1       0.0001117            0.85
             9.2        0.000101          0.8416
             9.3       9.143e-05          0.8332
             9.4       8.272e-05          0.8249
             9.5       7.485e-05          0.8167
             9.6       6.773e-05          0.8086
             9.7       6.128e-05          0.8006
             9.8       5.545e-05          0.7926
             9.9       5.018e-05          0.7847
              10        4.54e-05          0.7769
            10.1       4.108e-05          0.7692
            10.2       3.717e-05          0.7615
            10.3       3.363e-05           0.754
            10.4       3.043e-05          0.7465
            10.5       2.754e-05          0.7391
            10.6       2.492e-05          0.7317
            10.7       2.255e-05          0.7244
            10.8        2.04e-05          0.7172
            10.9       1.846e-05          0.7101
              11        1.67e-05           0.703
            11.1       1.511e-05           0.696
            11.2       1.367e-05          0.6891
            11.3       1.237e-05          0.6822
            11.4        1.12e-05          0.6755
            11.5       1.013e-05          0.6687
            11.6       9.166e-06          0.6621
            11.7       8.294e-06          0.6555
            11.8       7.505e-06           0.649
            11.9        6.79e-06          0.6425
              12       6.144e-06          0.6361
            12.1        5.56e-06          0.6298
            12.2       5.031e-06          0.6235
            12.3       4.552e-06          0.6173
            12.4       4.119e-06          0.6112
            12.5       3.727e-06          0.6051
            12.6       3.372e-06          0.5991
            12.7       3.051e-06          0.5931
            12.8       2.761e-06          0.5872
            12.9       2.498e-06          0.5814
              13        2.26e-06          0.5756
            13.1       2.045e-06          0.5699
            13.2       1.851e-06          0.5642
            13.3       1.675e-06          0.5586
            13.4       1.515e-06           0.553
            13.5       1.371e-06          0.5475
            13.6       1.241e-06          0.5421
            13.7       1.122e-06          0.5367
            13.8       1.016e-06          0.5313
            13.9        9.19e-07          0.5261
              14       8.315e-07          0.5208
            14.1       7.524e-07          0.5156
            14.2       6.808e-07          0.5105
            14.3        6.16e-07          0.5054
            14.4       5.574e-07          0.5004
            14.5       5.044e-07          0.4954
            14.6       4.564e-07          0.4905
            14.7       4.129e-07          0.4856
            14.8       3.736e-07          0.4808
            14.9       3.381e-07           0.476
              15       3.059e-07          0.4713
            15.1       2.768e-07          0.4666
            15.2       2.505e-07          0.4619
            15.3       2.266e-07          0.4573
            15.4       2.051e-07          0.4528
            15.5       1.855e-07          0.4483
            15.6       1.679e-07          0.4438
            15.7       1.519e-07          0.4394
