a =                1
b =                1
tau_a =                1
tau_b =               10
t =               50
delta =              0.2
               0               1               1
             0.2             0.8            1.16
             0.4            0.64           1.281
             0.6           0.512            1.37
             0.8          0.4096           1.435
               1          0.3277            1.48
             1.2          0.2621            1.51
             1.4          0.2097           1.527
             1.6          0.1678           1.534
             1.8          0.1342           1.533
               2          0.1074           1.527
             2.2          0.0859           1.516
             2.4         0.06872           1.501
             2.6         0.05498           1.483
             2.8         0.04398           1.463
               3         0.03518           1.442
             3.2         0.02815           1.419
             3.4         0.02252           1.396
             3.6         0.01801           1.372
             3.8         0.01441           1.348
               4         0.01153           1.324
             4.2        0.009223           1.299
             4.4        0.007379           1.275
             4.6        0.005903           1.251
             4.8        0.004722           1.227
               5        0.003778           1.203
             5.2        0.003022            1.18
             5.4        0.002418           1.157
             5.6        0.001934           1.134
             5.8        0.001547           1.112
               6        0.001238            1.09
             6.2       0.0009904           1.068
             6.4       0.0007923           1.047
             6.6       0.0006338           1.026
             6.8       0.0005071           1.006
               7       0.0004056          0.9857
             7.2       0.0003245          0.9661
             7.4       0.0002596          0.9468
             7.6       0.0002077          0.9279
             7.8       0.0001662          0.9094
               8       0.0001329          0.8913
             8.2       0.0001063          0.8735
             8.4       8.507e-05           0.856
             8.6       6.806e-05          0.8389
             8.8       5.445e-05          0.8221
               9       4.356e-05          0.8057
             9.2       3.484e-05          0.7896
             9.4       2.788e-05          0.7738
             9.6        2.23e-05          0.7583
             9.8       1.784e-05          0.7432
              10       1.427e-05          0.7283
            10.2       1.142e-05          0.7138
            10.4       9.134e-06          0.6995
            10.6       7.308e-06          0.6855
            10.8       5.846e-06          0.6718
              11       4.677e-06          0.6584
            11.2       3.741e-06          0.6452
            11.4       2.993e-06          0.6323
            11.6       2.395e-06          0.6196
            11.8       1.916e-06          0.6072
              12       1.532e-06          0.5951
            12.2       1.226e-06          0.5832
            12.4       9.808e-07          0.5715
            12.6       7.846e-07          0.5601
            12.8       6.277e-07          0.5489
              13       5.022e-07          0.5379
            13.2       4.017e-07          0.5272
            13.4       3.214e-07          0.5166
            13.6       2.571e-07          0.5063
            13.8       2.057e-07          0.4962
              14       1.646e-07          0.4862
            14.2       1.316e-07          0.4765
            14.4       1.053e-07           0.467
            14.6       8.425e-08          0.4576
            14.8        6.74e-08          0.4485
              15       5.392e-08          0.4395
            15.2       4.314e-08          0.4307
            15.4       3.451e-08          0.4221
            15.6       2.761e-08          0.4137
            15.8       2.209e-08          0.4054
              16       1.767e-08          0.3973
            16.2       1.413e-08          0.3894
            16.4       1.131e-08          0.3816
            16.6       9.046e-09          0.3739
            16.8       7.237e-09          0.3665
              17        5.79e-09          0.3591
            17.2       4.632e-09          0.3519
            17.4       3.705e-09          0.3449
            17.6       2.964e-09           0.338
            17.8       2.371e-09          0.3312
              18       1.897e-09          0.3246
            18.2       1.518e-09          0.3181
            18.4       1.214e-09          0.3118
            18.6       9.713e-10          0.3055
            18.8       7.771e-10          0.2994
              19       6.217e-10          0.2934
            19.2       4.973e-10          0.2876
            19.4       3.979e-10          0.2818
            19.6       3.183e-10          0.2762
            19.8       2.546e-10          0.2707
              20       2.037e-10          0.2652
            20.2        1.63e-10          0.2599
            20.4       1.304e-10          0.2547
            20.6       1.043e-10          0.2496
            20.8       8.344e-11          0.2446
              21       6.675e-11          0.2398
            21.2        5.34e-11           0.235
            21.4       4.272e-11          0.2303
            21.6       3.418e-11          0.2257
            21.8       2.734e-11          0.2211
              22       2.187e-11          0.2167
            22.2        1.75e-11          0.2124
            22.4         1.4e-11          0.2081
            22.6        1.12e-11           0.204
            22.8       8.959e-12          0.1999
              23       7.167e-12          0.1959
            23.2       5.734e-12           0.192
            23.4       4.587e-12          0.1881
            23.6        3.67e-12          0.1844
            23.8       2.936e-12          0.1807
              24       2.349e-12          0.1771
            24.2       1.879e-12          0.1735
            24.4       1.503e-12          0.1701
            24.6       1.202e-12          0.1667
            24.8        9.62e-13          0.1633
              25       7.696e-13          0.1601
            25.2       6.157e-13          0.1569
            25.4       4.925e-13          0.1537
            25.6        3.94e-13          0.1506
            25.8       3.152e-13          0.1476
              26       2.522e-13          0.1447
            26.2       2.017e-13          0.1418
            26.4       1.614e-13           0.139
            26.6       1.291e-13          0.1362
            26.8       1.033e-13          0.1335
              27       8.263e-14          0.1308
            27.2       6.611e-14          0.1282
            27.4       5.288e-14          0.1256
            27.6       4.231e-14          0.1231
            27.8       3.385e-14          0.1206
              28       2.708e-14          0.1182
            28.2       2.166e-14          0.1159
            28.4       1.733e-14          0.1135
            28.6       1.386e-14          0.1113
            28.8       1.109e-14           0.109
              29       8.873e-15          0.1069
            29.2       7.098e-15          0.1047
            29.4       5.678e-15          0.1026
            29.6       4.543e-15          0.1006
            29.8       3.634e-15         0.09856
              30       2.907e-15         0.09659
            30.2       2.326e-15         0.09466
            30.4       1.861e-15         0.09277
